Time,Summer: (Worldwide),Autumn: (Worldwide)
2024-02-17T14:52:00-05:00,72,6
2024-02-17T15:00:00-05:00,72,7
2024-02-17T15:08:00-05:00,72,7
2024-02-17T15:16:00-05:00,72,6
2024-02-17T15:24:00-05:00,81,6
2024-02-17T15:32:00-05:00,70,7
2024-02-17T15:40:00-05:00,76,7
2024-02-17T15:48:00-05:00,75,6
2024-02-17T15:56:00-05:00,82,7
2024-02-17T16:04:00-05:00,78,7
2024-02-17T16:12:00-05:00,84,7
2024-02-17T16:20:00-05:00,79,8
2024-02-17T16:28:00-05:00,77,7
2024-02-17T16:36:00-05:00,72,7
2024-02-17T16:44:00-05:00,74,7
2024-02-17T16:52:00-05:00,76,7
2024-02-17T17:00:00-05:00,83,6
2024-02-17T17:08:00-05:00,70,7
2024-02-17T17:16:00-05:00,75,7
2024-02-17T17:24:00-05:00,76,7
2024-02-17T17:32:00-05:00,74,7
2024-02-17T17:40:00-05:00,83,8
2024-02-17T17:48:00-05:00,72,8
2024-02-17T17:56:00-05:00,77,8
2024-02-17T18:04:00-05:00,73,8
2024-02-17T18:12:00-05:00,72,7
2024-02-17T18:20:00-05:00,76,7
2024-02-17T18:28:00-05:00,69,7
2024-02-17T18:36:00-05:00,70,8
2024-02-17T18:44:00-05:00,67,7
2024-02-17T18:52:00-05:00,69,8
2024-02-17T19:00:00-05:00,59,8
2024-02-17T19:08:00-05:00,59,7
2024-02-17T19:16:00-05:00,59,7
2024-02-17T19:24:00-05:00,59,7
2024-02-17T19:32:00-05:00,61,8
2024-02-17T19:40:00-05:00,61,7
2024-02-17T19:48:00-05:00,58,7
2024-02-17T19:56:00-05:00,59,7
2024-02-17T20:04:00-05:00,60,8
2024-02-17T20:12:00-05:00,56,7
2024-02-17T20:20:00-05:00,58,7
2024-02-17T20:28:00-05:00,63,7
2024-02-17T20:36:00-05:00,55,7
2024-02-17T20:44:00-05:00,55,6
2024-02-17T20:52:00-05:00,57,7
2024-02-17T21:00:00-05:00,58,7
2024-02-17T21:08:00-05:00,57,7
2024-02-17T21:16:00-05:00,59,7
2024-02-17T21:24:00-05:00,55,8
2024-02-17T21:32:00-05:00,58,7
2024-02-17T21:40:00-05:00,56,6
2024-02-17T21:48:00-05:00,57,8
2024-02-17T21:56:00-05:00,57,7
2024-02-17T22:04:00-05:00,64,8
2024-02-17T22:12:00-05:00,59,7
2024-02-17T22:20:00-05:00,62,7
2024-02-17T22:28:00-05:00,60,7
2024-02-17T22:36:00-05:00,56,7
2024-02-17T22:44:00-05:00,57,8
2024-02-17T22:52:00-05:00,57,7
2024-02-17T23:00:00-05:00,62,8
2024-02-17T23:08:00-05:00,57,7
2024-02-17T23:16:00-05:00,58,8
2024-02-17T23:24:00-05:00,56,7
2024-02-17T23:32:00-05:00,52,8
2024-02-17T23:40:00-05:00,54,7
2024-02-17T23:48:00-05:00,53,8
2024-02-17T23:56:00-05:00,51,7
2024-02-18T00:04:00-05:00,52,7
2024-02-18T00:12:00-05:00,50,7
2024-02-18T00:20:00-05:00,53,7
2024-02-18T00:28:00-05:00,55,7
2024-02-18T00:36:00-05:00,54,7
2024-02-18T00:44:00-05:00,51,7
2024-02-18T00:52:00-05:00,53,7
2024-02-18T01:00:00-05:00,53,7
2024-02-18T01:08:00-05:00,54,6
2024-02-18T01:16:00-05:00,54,7
2024-02-18T01:24:00-05:00,53,6
2024-02-18T01:32:00-05:00,54,6
2024-02-18T01:40:00-05:00,55,6
2024-02-18T01:48:00-05:00,56,6
2024-02-18T01:56:00-05:00,58,6
2024-02-18T02:04:00-05:00,59,6
2024-02-18T02:12:00-05:00,57,6
2024-02-18T02:20:00-05:00,56,6
2024-02-18T02:28:00-05:00,58,5
2024-02-18T02:36:00-05:00,58,6
2024-02-18T02:44:00-05:00,61,6
2024-02-18T02:52:00-05:00,58,6
2024-02-18T03:00:00-05:00,60,6
2024-02-18T03:08:00-05:00,65,6
2024-02-18T03:16:00-05:00,64,5
2024-02-18T03:24:00-05:00,58,6
2024-02-18T03:32:00-05:00,62,5
2024-02-18T03:40:00-05:00,69,6
2024-02-18T03:48:00-05:00,68,6
2024-02-18T03:56:00-05:00,66,5
2024-02-18T04:04:00-05:00,69,5
2024-02-18T04:12:00-05:00,63,5
2024-02-18T04:20:00-05:00,64,5
2024-02-18T04:28:00-05:00,64,5
2024-02-18T04:36:00-05:00,69,5
2024-02-18T04:44:00-05:00,66,6
2024-02-18T04:52:00-05:00,69,6
2024-02-18T05:00:00-05:00,64,5
2024-02-18T05:08:00-05:00,63,5
2024-02-18T05:16:00-05:00,76,5
2024-02-18T05:24:00-05:00,66,6
2024-02-18T05:32:00-05:00,69,5
2024-02-18T05:40:00-05:00,69,6
2024-02-18T05:48:00-05:00,66,5
2024-02-18T05:56:00-05:00,66,5
2024-02-18T06:04:00-05:00,70,5
2024-02-18T06:12:00-05:00,63,5
2024-02-18T06:20:00-05:00,62,5
2024-02-18T06:28:00-05:00,64,6
2024-02-18T06:36:00-05:00,62,5
2024-02-18T06:44:00-05:00,66,5
2024-02-18T06:52:00-05:00,67,5
2024-02-18T07:00:00-05:00,65,6
2024-02-18T07:08:00-05:00,66,5
2024-02-18T07:16:00-05:00,67,5
2024-02-18T07:24:00-05:00,68,5
2024-02-18T07:32:00-05:00,69,6
2024-02-18T07:40:00-05:00,67,5
2024-02-18T07:48:00-05:00,67,5
2024-02-18T07:56:00-05:00,70,5
2024-02-18T08:04:00-05:00,68,5
2024-02-18T08:12:00-05:00,77,5
2024-02-18T08:20:00-05:00,67,5
2024-02-18T08:28:00-05:00,66,5
2024-02-18T08:36:00-05:00,66,6
2024-02-18T08:44:00-05:00,68,5
2024-02-18T08:52:00-05:00,70,6
2024-02-18T09:00:00-05:00,63,6
2024-02-18T09:08:00-05:00,69,6
2024-02-18T09:16:00-05:00,69,6
2024-02-18T09:24:00-05:00,72,6
2024-02-18T09:32:00-05:00,67,6
2024-02-18T09:40:00-05:00,74,5
2024-02-18T09:48:00-05:00,70,6
2024-02-18T09:56:00-05:00,67,5
2024-02-18T10:04:00-05:00,69,5
2024-02-18T10:12:00-05:00,68,5
2024-02-18T10:20:00-05:00,72,6
2024-02-18T10:28:00-05:00,68,6
2024-02-18T10:36:00-05:00,69,5
2024-02-18T10:44:00-05:00,69,6
2024-02-18T10:52:00-05:00,74,6
2024-02-18T11:00:00-05:00,69,5
2024-02-18T11:08:00-05:00,71,5
2024-02-18T11:16:00-05:00,73,5
2024-02-18T11:24:00-05:00,71,6
2024-02-18T11:32:00-05:00,69,6
2024-02-18T11:40:00-05:00,70,5
2024-02-18T11:48:00-05:00,68,5
2024-02-18T11:56:00-05:00,72,6
2024-02-18T12:04:00-05:00,73,6
2024-02-18T12:12:00-05:00,71,6
2024-02-18T12:20:00-05:00,74,5
2024-02-18T12:28:00-05:00,74,6
2024-02-18T12:36:00-05:00,71,6
2024-02-18T12:44:00-05:00,75,6
2024-02-18T12:52:00-05:00,71,6
2024-02-18T13:00:00-05:00,70,6
2024-02-18T13:08:00-05:00,71,6
2024-02-18T13:16:00-05:00,75,6
2024-02-18T13:24:00-05:00,72,6
2024-02-18T13:32:00-05:00,75,5
2024-02-18T13:40:00-05:00,75,6
2024-02-18T13:48:00-05:00,76,6
2024-02-18T13:56:00-05:00,75,6
2024-02-18T14:04:00-05:00,77,6
2024-02-18T14:12:00-05:00,79,6
2024-02-18T14:20:00-05:00,79,6
2024-02-18T14:28:00-05:00,75,6
2024-02-18T14:36:00-05:00,81,6
2024-02-18T14:44:00-05:00,100,7
