Macrotrends Data Download

U.S. Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,148281550
1951-12-31,150598453,1.56
1952-12-31,152941727,1.56
1953-12-31,155451199,1.64
1954-12-31,158205873,1.77
1955-12-31,161136449,1.85
1956-12-31,164063411,1.82
1957-12-31,166949120,1.76
1958-12-31,170147101,1.92
1959-12-31,173324608,1.87
1960-12-31,176188578,1.65
1961-12-31,179087278,1.65
1962-12-31,181917809,1.58
1963-12-31,184649873,1.5
1964-12-31,187277378,1.42
1965-12-31,189703283,1.3
1966-12-31,191830975,1.12
1967-12-31,193782438,1.02
1968-12-31,195743427,1.01
1969-12-31,197859329,1.08
1970-12-31,200328340,1.25
1971-12-31,202907917,1.29
1972-12-31,205238390,1.15
1973-12-31,207314764,1.01
1974-12-31,209277968,0.95
1975-12-31,211274535,0.95
1976-12-31,213270022,0.94
1977-12-31,215437405,1.02
1978-12-31,217881437,1.13
1979-12-31,220463115,1.18
1980-12-31,223140018,1.21
1981-12-31,225654008,1.13
1982-12-31,228001418,1.04
1983-12-31,230389964,1.05
1984-12-31,232766280,1.03
1985-12-31,235146182,1.02
1986-12-31,237512783,1.01
1987-12-31,239853168,0.99
1988-12-31,242287814,1.02
1989-12-31,244954094,1.1
1990-12-31,248083732,1.28
1991-12-31,251560189,1.4
1992-12-31,255175339,1.44
1993-12-31,258779753,1.41
1994-12-31,262273589,1.35
1995-12-31,265660556,1.29
1996-12-31,268984347,1.25
1997-12-31,272395438,1.27
1998-12-31,275835018,1.26
1999-12-31,279181581,1.21
2000-12-31,282398554,1.15
2001-12-31,285470493,1.09
2002-12-31,288350252,1.01
2003-12-31,291109820,0.96
2004-12-31,293947885,0.97
2005-12-31,296842670,0.98
2006-12-31,299753098,0.98
2007-12-31,302743399,1
2008-12-31,305694910,0.97
2009-12-31,308512035,0.92
2010-12-31,311182845,0.87
2011-12-31,313876608,0.87
2012-12-31,316651321,0.88
2013-12-31,319375166,0.86
2014-12-31,322033964,0.83
2015-12-31,324607776,0.8
2016-12-31,327210198,0.8
2017-12-31,329791231,0.79
2018-12-31,332140037,0.71
2019-12-31,334319671,0.66
2020-12-31,335942003,0.49
2021-12-31,336997624,0.31
2022-12-31,338289857,0.38
2023-12-31,339996563,0.5
2024-12-31,341814420,0.53
2025-12-31,343603404,0.52
2026-12-31,345364937,0.51
2027-12-31,347098261,0.5
2028-12-31,348804850,0.49
2029-12-31,350493332,0.48
2030-12-31,352162301,0.48
2031-12-31,353802974,0.47
2032-12-31,355412200,0.45
2033-12-31,356991059,0.44
2034-12-31,358528775,0.43
2035-12-31,360016420,0.41
2036-12-31,361456574,0.4
2037-12-31,362841838,0.38
2038-12-31,364161174,0.36
2039-12-31,365420860,0.35
2040-12-31,366616240,0.33
2041-12-31,367749399,0.31
2042-12-31,368832202,0.29
2043-12-31,369853049,0.28
2044-12-31,370815335,0.26
2045-12-31,371715154,0.24
2046-12-31,372551915,0.23
2047-12-31,373335573,0.21
2048-12-31,374064084,0.2
2049-12-31,374749589,0.18
2050-12-31,375391963,0.17
2051-12-31,375987912,0.16
2052-12-31,376555047,0.15
2053-12-31,377101926,0.15
2054-12-31,377638013,0.14
2055-12-31,378168263,0.14
2056-12-31,378696958,0.14
2057-12-31,379230254,0.14
2058-12-31,379767172,0.14
2059-12-31,380310585,0.14
2060-12-31,380862165,0.15
2061-12-31,381422296,0.15
2062-12-31,381995488,0.15
2063-12-31,382586899,0.15
2064-12-31,383191211,0.16
2065-12-31,383800543,0.16
2066-12-31,384412101,0.16
2067-12-31,385023531,0.16
2068-12-31,385634475,0.16
2069-12-31,386231712,0.15
2070-12-31,386805309,0.15
2071-12-31,387371861,0.15
2072-12-31,387925372,0.14
2073-12-31,388448573,0.13
2074-12-31,388936916,0.13
2075-12-31,389390579,0.12
2076-12-31,389810991,0.11
2077-12-31,390199573,0.1
2078-12-31,390559280,0.09
2079-12-31,390882693,0.08
2080-12-31,391168465,0.07
2081-12-31,391424375,0.07
2082-12-31,391652800,0.06
2083-12-31,391856941,0.05
2084-12-31,392042507,0.05
2085-12-31,392209373,0.04
2086-12-31,392363616,0.04
2087-12-31,392505046,0.04
2088-12-31,392635564,0.03
2089-12-31,392763501,0.03
2090-12-31,392882584,0.03
2091-12-31,392999144,0.03
2092-12-31,393119132,0.03
2093-12-31,393236593,0.03
2094-12-31,393353698,0.03
2095-12-31,393473602,0.03
2096-12-31,393602753,0.03
2097-12-31,393728779,0.03
2098-12-31,393843026,0.03
2099-12-31,393946323,0.03
2100-12-31,394041155,0.02
